INFO 2025-02-24 23:25:44,066 [Thread: 12904] [payments - send_xrp_payment_and_delete_account:154] Leaving: send_xrp_payment_and_delete_account. Total execution time in ms: 2
ERROR 2025-02-24 23:25:44,070 [Thread: 396] [log - log_response:248] Internal Server Error: /xrpl/send-xrp-payment-and-delete-account/
ERROR 2025-02-24 23:25:44,071 [Thread: 396] [basehttp - log_message:213] "GET /xrpl/send-xrp-payment-and-delete-account/?account=rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg&sender_seed=rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg HTTP/1.1" 500 59
INFO 2025-02-24 23:26:04,594 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:51] Entering: send_xrp_payment_and_delete_account
INFO 2025-02-24 23:26:04,595 [Thread: 9648] [utilities - validate_xrp_wallet:65] Classic Address: rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg
INFO 2025-02-24 23:26:04,946 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:72] await check_account_ledger_entries total time: 46
INFO 2025-02-24 23:26:04,946 [Thread: 9648] [escrows_util - check_escrow_entries:24] No Escrow entries found.
INFO 2025-02-24 23:26:04,946 [Thread: 9648] [payments_util - check_pay_channel_entries:108] No PayChannel entries found.
INFO 2025-02-24 23:26:04,947 [Thread: 9648] [ledger_util - check_ripple_state_entries:70] No RippleState entries found.
INFO 2025-02-24 23:26:04,947 [Thread: 9648] [account_utils - check_check_entries:106] No Check entries found.
INFO 2025-02-24 23:26:04,995 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:95] await account_info_response total time: 48
INFO 2025-02-24 23:26:05,047 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:103] await get_account_reserves total time: 51
INFO 2025-02-24 23:26:10,846 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:119] await process_payment total time: 5799
INFO 2025-02-24 23:26:10,894 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:124] await calculate_last_ledger_sequence total time: 47
INFO 2025-02-24 23:26:17,731 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:135] await process_payment total time: 6836
INFO 2025-02-24 23:26:17,731 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:137] Get balance changes: [{'account': 'rMXxLRrm5jmFm64zbmsAzFDL4cd3FQR7v', 'balances': [{'currency': 'XRP', 'value': '-99.00001'}]}, {'account': 'rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg', 'balances': [{'currency': 'XRP', 'value': '99'}]}]
INFO 2025-02-24 23:26:17,731 [Thread: 9648] [payments - send_xrp_payment_and_delete_account:138] Get final balances: [{'account': 'rMXxLRrm5jmFm64zbmsAzFDL4cd3FQR7v', 'balances': [{'currency': 'XRP', 'value': '0.99999'}]}, {'account': 'rfkDe3oxHbhGfWGozL6z8Xw6vCx7pLutTg', 'balances': [{'currency': 'XRP', 'value': '298'}]}]
INFO 2025-02-24 23:26:17,732 [Thread: 396] [payments_util - save_account_delete_tx_response:129] Payment transaction hash: A0FE9CCE62D4955BA5CF1A597BDB5BE843F99B5B81F026B26AB915C7ADD2BB0A, Sender: rMXxLRrm5jmFm64zbmsAzFDL4cd3FQR7v
INFO 2025-02-24 23:26:17,732 [Thread: 396] [payments_util - save_account_delete_tx_response:130] Delete transaction hash: EA85D5F26E231842EA90D0129FBFA88FB9749DCC6445F51AD0BD395AA7BC158C, Sender: rMXxLRrm5jmFm64zbmsAzFDL4cd3FQR7v
